ID	title	language	publisher	region	release_date	serial	version
04081UJ	True Romance	N/A	Warner Brothers	N/A	2006-04-05	04081UJ	2.0
10000BCUMDBV0956	10.000 BC	N/A	Boulevard Entertainment	N/A	2008-06-23	10000BCUMDBV0956	1.0
81059UN	POSEIDON	N/A	N/A	N/A	N/A	81059UN	1.0
82396UJ	16 Blocks	N/A	Warner Brothers	N/A	2006-07-03	82396UJ	3.0
AAPP-11042	Are You Alice? (Limited Edition)	Japanese	N/A	NTSC-J	N/A	AAPP-11042	N/A
ABCD-01234	Heatseeker	English / French / German / Italian / Spanish	N/A	PAL	N/A	ABCD-01234	N/A
ALCH-00019	Higurashi Daybreak Portable (Limited Box)	Japanese	N/A	NTSC-J	N/A	ALCH-00019	N/A
ALCH-00022	Higurashi Daybreak Portable Mega Edition (Limited Box)	Japanese	N/A	NTSC-J	N/A	ALCH-00022	N/A
ALCH-00023	Saki Portable (Limited Edition)	Japanese	N/A	NTSC-J	N/A	ALCH-00023	N/A
ALCH-00026	No Fate! Only the Power of Will (Limited Edition)	Japanese	N/A	NTSC-J	N/A	ALCH-00026	N/A
ALCH-00029	Koisuru Otome to Shugo no Tate Portable (Limited Edition)	Japanese	N/A	NTSC-J	N/A	ALCH-00029	N/A
ALCH-00030	Princess Frontier Portable (Limited Edition)	Japanese	N/A	NTSC-J	N/A	ALCH-00030	N/A
ALCH-00031	Otome wa Oanesama ni Koi Shiteru Portable 2Jin no Elder (Limited Edition)	Japanese	N/A	NTSC-J	N/A	ALCH-00031	N/A
ALCH-00032	Saka Agari Hurricane Portable (Limited Edition)	Japanese	N/A	NTSC-J	N/A	ALCH-00032	N/A
ALCH-00033	Dead End: Orchestral Manoeuvres in the Dead End (Limited Edition)	Japanese	N/A	NTSC-J	N/A	ALCH-00033	N/A
ALCH-00034	Kaitou Tenshi Twin Angel: Toki to Sekai no Meikyuu (Limited Edition)	Japanese	N/A	NTSC-J	N/A	ALCH-00034	N/A
ALCH-00035	Soreyuke! BurunyanMan Portable: Torimodose! Ai to Seigi to Kibou no Tsunyakan (Nyan Nyan Set)	Japanese	N/A	NTSC-J	N/A	ALCH-00035	N/A
ALCH-00039	Ouka Sengoku Portable (Limited Edition)	Japanese	N/A	NTSC-J	N/A	ALCH-00039	N/A
ALCH-00040	Renai 0 Kilometer Portable (Limited Edition)	Japanese	N/A	NTSC-J	N/A	ALCH-00040	N/A
ALCH-00041	Onigokko! Portable (Limited Edition)	Japanese	N/A	NTSC-J	N/A	ALCH-00041	N/A
ALCH-00042	1/2 summer+ (Limited Edition)	Japanese	N/A	NTSC-J	N/A	ALCH-00042	N/A
ALCH-00043	Gaku * Ou: The Royal Seven Stars + Meteor (Limited Edition)	Japanese	N/A	NTSC-J	N/A	ALCH-00043	N/A
ALCH-00044	Saki: Achiga-Hen Episode of Side-A Portable (Limited Edition)	Japanese	N/A	NTSC-J	N/A	ALCH-00044	N/A
ALCH-00045	Your Diary+ (Limited Edition)	Japanese	N/A	NTSC-J	N/A	ALCH-00045	N/A
ALCH-00046	Ore no Kanojo no Uraomote: Pure Sweet Heart (Limited Edition)	Japanese	N/A	NTSC-J	N/A	ALCH-00046	N/A
ANTW-12073	Amnesia Twin Pack	Japanese	N/A	NTSC-J	N/A	ANTW-12073	N/A
AQCS-01020	Higurashi no Naku Koro ni: Jan (Limited Box)	Japanese	N/A	NTSC-J	N/A	AQCS-01020	N/A
ATS-201008	Persona (Best Selection)	Japanese	N/A	NTSC-J	N/A	ATS-201008	N/A
BCES-01117	PSP (PlayStation Portable) Go Promotional Disc	N/A	N/A	PAL	N/A	BCES-01117	N/A
BCUA-0240	電脳コイル	N/A	N/A	N/A	N/A	BCUA-0240	N/A
BLAS-42333	Kamen Rider: Chou Climax Heroes	Japanese	N/A	NTSC-J	N/A	BLAS-42333	N/A
BLAS-42334	Saint Seiya Omega: Ultimate Cosmo	Japanese	N/A	NTSC-J	N/A	BLAS-42334	N/A
BLJM-67013	Final Fantasy 25TH Anniversary Ultimate Box	English / Japanese	N/A	NTSC-J	N/A	BLJM-67013	N/A
BLUE-0001	UnENDing BloodyCall (Limited Edition)	Japanese	N/A	NTSC-J	N/A	BLUE-0001	N/A
BOOS-TSS02	次の犠牲者をオシラセシマス	N/A	N/A	N/A	2012-12-11	BOOS-TSS02	N/A
BOOST-001	Sekai De Ichiban NG na Koi: Full House (Limited Edition)	Japanese	N/A	NTSC-J	N/A	BOOST-001	N/A
BOOST-002	Tanteibu: The Detective Club: Tantei to Yuurei to Kaitou to (Limited Edition)	Japanese	N/A	NTSC-J	N/A	BOOST-002	N/A
BOOST-003	Tanteibu: The Detective Club: Angou to Misshitsu to Kaijin to (Limited Edition)	Japanese	N/A	NTSC-J	N/A	BOOST-003	N/A
BOOST-004	Tanteibu: The Detective Club: Haibu to Kaiga to Bakudan to (Limited Edition)	Japanese	N/A	NTSC-J	N/A	BOOST-004	N/A
BOOST-005	Tanteibu: The Detective Club: Shissou to Hangeki to Daidanen (Limited Edition)	Japanese	N/A	NTSC-J	N/A	BOOST-005	N/A
BOOST-006	Bullet Butlers: Juudan no Kanata (Limited Edition)	Japanese	N/A	NTSC-J	N/A	BOOST-006	N/A
BOOST-007	Hana to Otome ni Shukufuku Wo: Harukaze no Okurimono Portable (Limited Edition)	Japanese	N/A	NTSC-J	N/A	BOOST-007	N/A
BOOST-008	Tsugi no Giseisha o Oshirase Shimasu: Kimi to Ko no Hateru Kotonai Kurayami o (Limited Edition)	Japanese	N/A	NTSC-J	N/A	BOOST-008	N/A
BOOST-009	Tsugi no Giseisha o Oshirase Shimasu: Shi to Zetsubou o Norikoete (Limited Edition)	Japanese	N/A	NTSC-J	N/A	BOOST-009	N/A
BOOST-010	Tsugi no Giseisha o Oshirase Shimasu: Houkaisuru Sekai ni Shinigami to (Limited Edition)	Japanese	N/A	NTSC-J	N/A	BOOST-010	N/A
BOOST-011	Phase-D: Aohana no Shou (Limited Edition)	Japanese	N/A	NTSC-J	N/A	BOOST-011	N/A
BOOST-012	Phase-D: Shirokage no Shou (Limited Edition)	Japanese	N/A	NTSC-J	N/A	BOOST-012	N/A
BOOST-013	Phase-D: Kurosei no Shou (Limited Edition)	Japanese	N/A	NTSC-J	N/A	BOOST-013	N/A
BOOST-014	Phase-D: Akaki no Shou (Limited Edition)	Japanese	N/A	NTSC-J	N/A	BOOST-014	N/A
BOOST-015	Te to Te Try On! Tropical (Limited Edition)	Japanese	N/A	NTSC-J	N/A	BOOST-015	N/A
BOOST-016	Shirokuma Belles Stars: Happy Holidays! (Limited Edition)	Japanese	N/A	NTSC-J	N/A	BOOST-016	N/A
BOOST-017	Kono Bushitsu wa Kitaku Shinai Bu ga Senkyo Shimashita. Portable: Gakuen Summer Wars Hen (Limited Edition)	Japanese	N/A	NTSC-J	N/A	BOOST-017	N/A
BOOST-018	Kono Bushitsu wa Kitaku Shinai Bu ga Senkyo Shimashita. Portable: Gakuen Dog Ear Hen (Limited Edition)	Japanese	N/A	NTSC-J	N/A	BOOST-018	N/A
BOOST-020	ChronoBelt SchwarzOath: Ayakashibito & Bullet Butlers Crossover Disk (Limited Edition)	Japanese	N/A	NTSC-J	N/A	BOOST-020	N/A
BOOST-021	Yami Kara no Izanai: Tenebrae I (Limited Edition)	Japanese	N/A	NTSC-J	N/A	BOOST-021	N/A
BOOST-026	ChronoBelt SchwarzOath: Ayakashibito & Bullet Butlers Crossover Disk (Limited Triple Pack)	Japanese	N/A	NTSC-J	N/A	BOOST-026	N/A
BOOST-029	Tanteibu Complete Box	Japanese	N/A	NTSC-J	N/A	BOOST-029	N/A
BOOST-030	Tsugi no Giseisha o Oshirase Shimasu Complete Box	Japanese	N/A	NTSC-J	N/A	BOOST-030	N/A
BPMC-00525	Magnacarta Portable	N/A	BANPRESTO	N/A	N/A	BPMC-00525	N/A
C-OMEGA-32	Omerta: Chinmoku no Okite: The Legacy (Limited Edition)	Japanese	N/A	NTSC-J	N/A	C-OMEGA-32	N/A
CF00-15022	Memories Off #5: Encore (Soundtrack Bundle Edition)	Japanese	N/A	NTSC-J	N/A	CF00-15022	N/A
CF00-20005	Secret of Evangelion Portable (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20005	N/A
CF00-20007	Princess Maker Portable Pack	Japanese	N/A	NTSC-J	N/A	CF00-20007	N/A
CF00-20009	Never7: The End of Infinity (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20009	N/A
CF00-20011	Ever17: The Out of Infinity Premium Edition (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20011	N/A
CF00-20013	Remember11: The Age of Infinity (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20013	N/A
CF00-20015	12Riven -The Psi-Climinal of integral (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20015	N/A
CF00-20017	Hitsuji Kunnara Kiss Shite Ageru * Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20017	N/A
CF00-20019	Shinseiki Evangelion: Koutetsu no Girlfriend Tokubetsu-Hen Portable (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20019	N/A
CF00-20021	Shinseiki Evangelion: Koutetsu no Girlfriend 2nd Portable (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20021	N/A
CF00-20022	Infinity Plus Portable	Japanese	N/A	NTSC-J	N/A	CF00-20022	N/A
CF00-20023	Shinseiki Evangelion Portable Pack	Japanese	N/A	NTSC-J	N/A	CF00-20023	N/A
CF00-20025	Akatsuki no Amaneka to Aoi Kyojin (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20025	N/A
CF00-20027	Mizu no Senritsu (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20027	N/A
CF00-20029	Mizu no Senritsu 2: Hi no Kioku (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20029	N/A
CF00-20031	Cross Channel: To All People (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20031	N/A
CF00-20033	My Merry May (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20033	N/A
CF00-20035	Monochrome (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20035	N/A
CF00-20038	Kazoku Keikaku (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20038	N/A
CF00-20040	Idol Janshi Suchie-Pai IV Portable (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20040	N/A
CF00-20042	Kana: Imouto (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20042	N/A
CF00-20044	Deardrops Distortiong (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20044	N/A
CF00-20046	DJ Max Portable 3 (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20046	N/A
CF00-20048	Hoshizora * Planet: One Small Step For... (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20048	N/A
CF00-20050	Hakuisei Renai Shoukougun (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20050	N/A
CF00-20052	Code_18 (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20052	N/A
CF00-20054	Shirogane no Cal to Aoi no Joou (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20054	N/A
CF00-20056	Ryu-koku (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20056	N/A
CF00-20058	Konneko: Keep a Memory Green (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20058	N/A
CF00-20060	Tamayura: Mitama Okuri no Shi (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20060	N/A
CF00-20062	Omoi no Kakera: Close to (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20062	N/A
CF00-20064	Gift: Prism (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20064	N/A
CF00-20066	Eien no Aseria: Kono Daichi no Hate de (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20066	N/A
CF00-20068	Little Witch Parfait . Kuroneko Mahouten Monogatari (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20068	N/A
CF00-20070	Seinaru Kana: Orichalcum no Na no Motoni (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20070	N/A
CF00-20072	Princess Evangile Portable (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20072	N/A
CF00-20074	DJ Max Portable:  Black Square (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20074	N/A
CF00-20076	Hakuisei Renai Shoukougun: RE:Therapy (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20076	N/A
CF00-20078	Saihate no Ima Portable (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20078	N/A
CF00-20083	Aoi Umi no Tristia: 10th Anniversary Memorial Pack	Japanese	N/A	NTSC-J	N/A	CF00-20083	N/A
CF00-20085	Sorairo Portable (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20085	N/A
CF00-20087	Sucre Portable (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20087	N/A
CF00-20089	Tasogare no Sinsemillas Portable (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20089	N/A
CF00-20091	Stellar * Theater Portable (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20091	N/A
CF00-20093	Sora o Aogite Kumo Takaku Portable (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CF00-20093	N/A
CF00-27019	Yamada Hajime Box	Japanese	N/A	NTSC-J	N/A	CF00-27019	N/A
CGP-001	Hentai Ouji to Warawanai Neko.(Limited Edition)	Japanese	N/A	NTSC-J	N/A	CGP-001	N/A
CPAS-01001	Fate/Tiger Colosseum (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CPAS-01001	N/A
CPCS-01023	Finder Love: Fumina Hara: Futari no Futari de (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CPCS-01023	N/A
CPCS-01024	Finder Love: Risa Kudou: First Shoot wa Kimi to (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CPCS-01024	N/A
CPCS-01025	Finder Love: Aki Hoshino: Nangoku Trouble Rendezvous (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CPCS-01025	N/A
CPCS-01033	Fate/Tiger Colosseum (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CPCS-01033	N/A
CPCS-01034	Monster Hunter Portable 2nd G (PSP Pack)	Japanese	N/A	NTSC-J	N/A	CPCS-01034	N/A
CPCS-01038	Fate/Tiger Colosseum Upper (Megamori Box)	Japanese	N/A	NTSC-J	N/A	CPCS-01038	N/A
CPCS-01042	Rockman Dash + RockMan Dash 2 Value Pack	Japanese	N/A	NTSC-J	N/A	CPCS-01042	N/A
CPCS-01043	Street Fighter Alpha 3 Double Upper & Vampire Chronicle Value Pack)	Japanese	N/A	NTSC-J	N/A	CPCS-01043	N/A
CPCS-01053	Rockman X: Irregular Hunter / RockMan RockMan Value Pack	Japanese	N/A	NTSC-J	N/A	CPCS-01053	N/A
CSPJ-0028	HatsuKare * Renai Debut Sengen! (Limited Edition)	Japanese	N/A	NTSC-J	N/A	CSPJ-0028	N/A
DCE INXS V3.0	INXS / V3.0	N/A	N/A	N/A	2005-8-12	N/A	3.0
DCPP-11021	Death Connection Portable (Limited Edition)	Japanese	N/A	NTSC-J	N/A	DCPP-11021	N/A
DGPP-00604	D.C. Girls Symphony Pocket (Limited Edition)	Japanese	N/A	NTSC-J	N/A	DGPP-00604	N/A
DLTW-13105	Diabolik Lovers: Twin Pack	Japanese	N/A	NTSC-J	N/A	DLTW-13105	N/A
DRACULA-01	Akumajou Dracula: X Chronicle (Konami Style Limited Edition)	Japanese	N/A	NTSC-J	N/A	DRACULA-01	N/A
ENT-001	Akihabara Events Sponsored By PS UMD	N/A	N/A	N/A	2005-10-03	ENT-001	N/A
ESGM-0002	Kaleido-Eve	Japanese	N/A	NTSC-J	N/A	ESGM-0002	N/A
ETGM-0002	Yoiyomori no Hime (Limited Edition)	Japanese	N/A	NTSC-J	N/A	ETGM-0002	N/A
F1-00178-UMD-ST	There's Something About Mary	N/A	20th Century Fox Studios	N/A	2006-02-06	F1-00178-UMD-ST	1.0
F1-01090-UMD-ST	Alien	N/A	20th Century Fox Studios	N/A	2005-07-22	F1-01090-UMD-ST	1.0
F1-01504-UMD-ST	ALIENS	N/A	20th Century Fox Studios	N/A	2006-01-27	F1-01504-UMD-ST	1.0
F1-01515-UMD-ST	Predator	N/A	N/A	N/A	N/A	F1-01515-UMD-ST	1.0
F1-04130-UMD-ST	CHAIN REACTION	N/A	20th Century Fox Studios	N/A	2005-10-12	F1-04130-UMD-ST	1.0
F1-22230-UMD-ST	Kiss Of The Dragon	N/A	20th Century Fox Studios	N/A	2005-09-21	F1-22230-UMD-ST	1.0
F1-22231-UMD-SV	FROM HELL	N/A	20th Century Fox Studios	N/A	2006-05-18	F1-22231-UMD-SV	1.0
F1-22233-UMD-SV	BEHIND ENEMY LINES	N/A	20th Century Fox Studios	N/A	2005-11-17	F1-22233-UMD-SV	1.0
F1-22235-UMD-ST	PHONE BOOTH	N/A	20th Century Fox Studios	N/A	2006-02-14	F1-22235-UMD-ST	1.0
F1-22236-UMD-SV	ICE AGE	N/A	20th Century Fox Studios	N/A	2006-02-17	F1-22236-UMD-SV	1.0
F1-23787-UMD-SV	TRANSPORTER	N/A	20th Century Fox Studios	N/A	2006-01-11	F1-23787-UMD-SV	1.0
F1-23789-UMD-ST	DAREDEVIL	N/A	20th Century Fox Studios	N/A	2005-09-28	F1-23789-UMD-ST	3.0
F1-24019-UMD-ST	X-MEN	N/A	20th Century Fox Studios	N/A	2006-04-19	F1-24019-UMD-ST	1.0
F1-24224-UMD-ST	X-MEN 2	N/A	20th Century Fox Studios	N/A	2006-03-31	F1-24224-UMD-ST	1.0
F1-24226-UMD-ST	The League / La Ligue	N/A	N/A	N/A	N/A	F1-24226-UMD-ST	N/A
F1-24232-UMD-ST	I ROBOT	N/A	20th Century Fox Studios	N/A	2005-07-25	F1-24232-UMD-ST	1.0
F1-24240-UMD-ST	Master And Commander	N/A	20th Century Fox Studios	N/A	2006-03-03	F1-24240-UMD-ST	1.0
F1-24311-UMD-ST	Cheaper By The Dozen	N/A	20th Century Fox Studios	N/A	2005-10-28	F1-24311-UMD-ST	1.0
F1-25014-UMD-ST	Dodgeball	N/A	20th Century Fox Studios	N/A	2005-07-21	F1-25014-UMD-ST	1.0
F1-26503-UMD-ST	The Day After Tomorrow	N/A	20th Century Fox Studios	N/A	2005-09-15	F1-26503-UMD-ST	1.0
F1-26681-UMD-ST	ALIEN VS. PREDATOR	N/A	N/A	N/A	2005-08-02	F1-26681-UMD-ST	1.0
F1-27809-UMD-ST	MR. AND MRS. SMITH	N/A	20th Century Fox Studios	N/A	2005-11-11	F1-27809-UMD-ST	2.0
F1-28366-UMD-ST	ELEKTRA	N/A	20th Century Fox Studios	N/A	2005-11-14	F1-28366-UMD-ST	1.0
F1-29534-UMD-ST	KINGDOM OF HEAVEN	N/A	20th Century Fox Studios	N/A	2005-08-29	F1-29534-UMD-ST	1.0
F1-29938-UMD-ST	TRANSPORTER 2	N/A	20th Century Fox Studios	N/A	2006-02-07	F1-29938-UMD-ST	1.0
F1-30022-UMD-ST	NIGHT WATCH	N/A	20th Century Fox Studios	N/A	2006-02-17	F1-30022-UMD-ST	1.0
F2-23789-UMD-ST	Daredevil / DAREDEVIL	N/A	20th Century Fox Studios	N/A	2005-09-01	F2-23789-UMD-ST	1.0
F2-24232-UMD-ST	I,ROBOT	N/A	20th Century Fox Studios	N/A	2005-07-22	F2-24232-UMD-ST	1.0
F2-29534-UMD-ST	KINGDOM OF HEAVEN	N/A	N/A	N/A	2005-08-30	F2-29534-UMD-ST	1.0
F3-04118-UMD-ST	INDEPENDENCE DAY	N/A	20th Century Fox Studios	N/A	2006-01-12	F3-04118-UMD-ST	1.0
F3-22236-UMD-SV	ICE AGE	N/A	20th Century Fox Studios	N/A	2006-02-17	F3-22236-UMD-SV	1.0
F3-24234-UMD-ST	ROBOTS	N/A	20th Century Fox Studios	N/A	2005-09-05	F3-24234-UMD-ST	1.0
F3-24240-UMD-ST	Master And Commander	N/A	20th Century Fox Studios	N/A	2006-03-06	F3-24240-UMD-ST	1.0
F3-25007-UMD-ST	GARFIELD	N/A	20th Century Fox Studios	N/A	2005-11-15	F3-25007-UMD-ST	3.0
F3-29534-UMD-ST	KINGDOM OF HEAVEN	N/A	20th Century Fox Studios	N/A	2005-09-09	F3-29534-UMD-ST	2.0
F3-30460-UMD-ST	FAMILY GUY	N/A	20th Century Fox Studios	N/A	2005-12-22	F3-30460-UMD-ST	1.0
FLGM-00002	Gekiatsu!! PachiGe-Damashi Portable Vol.2: Evangelion: Shinjitsu no Tsubasa (Limited Edition)	Japanese	N/A	NTSC-J	N/A	FLGM-00002	N/A
FS-26501-UMD-ST	MAN ON FIRE	N/A	20th Century Fox Studios	N/A	2006-05-09	FS-26501-UMD-ST	1.0
FVGK-0005	Memories Off (Limited Edition)	Japanese	N/A	NTSC-J	N/A	FVGK-0005	N/A
FVGK-0006	Memories Off 2nd (Limited Edition)	Japanese	N/A	NTSC-J	N/A	FVGK-0006	N/A
FVGK-0009	Omoide ni Kawaru-Kimi: Memories Off (Limited Edition)	Japanese	N/A	NTSC-J	N/A	FVGK-0009	N/A
FVGK-0010	Memories Off: Sorekara (Limited Edition)	Japanese	N/A	NTSC-J	N/A	FVGK-0010	N/A
FVGK-0014	Memories Off #5: Togireta Film (Limited Edition)	Japanese	N/A	NTSC-J	N/A	FVGK-0014	N/A
FVGK-0020	Your Memories Off: Girl's Style (Limited Edition)	Japanese	N/A	NTSC-J	N/A	FVGK-0020	N/A
FVGK-0023	L no Kisetsu: Double Pocket (Limited Edition)	Japanese	N/A	NTSC-J	N/A	FVGK-0023	N/A
FVGK-0025	Memories Off: Sorekara Again (Limited Edition)	Japanese	N/A	NTSC-J	N/A	FVGK-0025	N/A
FVGK-0027	Memories Off 6: T-Wave (Limited Edition)	Japanese	N/A	NTSC-J	N/A	FVGK-0027	N/A
FVGK-0028	Memories Off: After Rain (Limited Edition)	Japanese	N/A	NTSC-J	N/A	FVGK-0028	N/A
FVGK-0031	Taisho Yakyuu Musume: Otometachi no Seishun Nikki (Limited Edition)	Japanese	N/A	NTSC-J	N/A	FVGK-0031	N/A
FVGK-0032	Memories Off #5: Encore (Limited Edition)	Japanese	N/A	NTSC-J	N/A	FVGK-0032	N/A
FVGK-0033	11 Eyes Crossover (Limited Edition)	Japanese	N/A	NTSC-J	N/A	FVGK-0033	N/A
FVGK-0034	Memories Off Complete Box (2800 Selection)	Japanese	N/A	NTSC-J	N/A	FVGK-0034	N/A
FVGK-0040	Chaos;Head Noah (Limited Edition)	Japanese	N/A	NTSC-J	N/A	FVGK-0040	N/A
FVGK-0041	Lucian Bee's: Trilogy Box	Japanese	N/A	NTSC-J	N/A	FVGK-0041	N/A
FVGK-0042	Corpse Party: Blood Covered: Repeated Fear (Limited Edition)	Japanese	N/A	NTSC-J	N/A	FVGK-0042	N/A
FVGK-0043	Memories Off 6: Next Relation (Limited Edition)	Japanese	N/A	NTSC-J	N/A	FVGK-0043	N/A
FVGK-0045	Pastel Chime Continue (Limited Edition)	Japanese	N/A	NTSC-J	N/A	FVGK-0045	N/A
FVGK-0049	Chaos;Head Love Chu*Chu! (Limited Edition)	Japanese	N/A	NTSC-J	N/A	FVGK-0049	N/A
FVGK-0050	Memories Off: Yubikiri no Kioku (Limited Edition)	Japanese	N/A	NTSC-J	N/A	FVGK-0050	N/A
FVGK-0051	Corpse Party: Book of Shadows (Limited Edition)	Japanese	N/A	NTSC-J	N/A	FVGK-0051	N/A
FVGK-0056	Beyond the Future: Fix the Time Arrows (Limited Edition)	Japanese	N/A	NTSC-J	N/A	FVGK-0056	N/A
FVGK-0057	Sharin no Kuni, Himawari no Shoujo (Limited Edition)	Japanese	N/A	NTSC-J	N/A	FVGK-0057	N/A
FVGK-0058	Steins;Gate: Hiyoku Renri no Darling (Limited Edition)	Japanese	N/A	NTSC-J	N/A	FVGK-0058	N/A
FVGK-0062	Dunamis 15 (Limited Edition)	Japanese	N/A	NTSC-J	N/A	FVGK-0062	N/A
FVGK-0063	Corpse Party: The Anthology: Sachiko no Renai Yuugi: Hysteric Birthday 2U (Limited Edition)	Japanese	N/A	NTSC-J	N/A	FVGK-0063	N/A
FVGK-0065	Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai (Limited Edition)	Japanese	N/A	NTSC-J	N/A	FVGK-0065	N/A
FVGK-0067	Akatsuki no Goei Trinity (Limited Edition)	Japanese	N/A	NTSC-J	N/A	FVGK-0067	N/A
FVGK-0070	Tokyo Yamanote Boys Portable: Honey Milk Disc (Limited Edition)	Japanese	N/A	NTSC-J	N/A	FVGK-0070	N/A
FVGK-0071	Tokyo Yamanote Boys Portable: Super Mint Disk (Limited Edition)	Japanese	N/A	NTSC-J	N/A	FVGK-0071	N/A
FVGK-0072	Tokyo Yamanote Boys Portable: Dark Cherry Disc (Limited Edition)	Japanese	N/A	NTSC-J	N/A	FVGK-0072	N/A
FVGK-0092	Hanasaku Manimani (Limited Edition)	Japanese	N/A	NTSC-J	N/A	FVGK-0092	N/A
FXUA-28667	Fantastic 4	N/A	N/A	N/A	N/A	FXUA-28667	N/A
Final Fantasy VIIUVDL-011560	Final Fantasy VII: Advent Children	N/A	N/A	N/A	2006-01-27	N/A	N/A
GHTW-13109	Glass Heart Princess Twin Pack	Japanese	N/A	NTSC-J	N/A	GHTW-13109	N/A
GN-08027	Suigetsu Portable (Limited Edition)	Japanese	N/A	NTSC-J	N/A	GN-08027	N/A
GOEC-0001	Ragnarok: Hikari to Yami no Koujo	Japanese	N/A	NTSC-J	N/A	GOEC-0001	N/A
GSJ-001	Iza, Shutsujin! Koiikusa Dainimaku: Kai Hen (Limited  Edition)	Japanese	N/A	NTSC-J	N/A	GSJ-001	N/A
GSJ-002	Iza, Shutsujin! Koiikusa Dainimaku: Echigo Hen (Limited  Edition)	Japanese	N/A	NTSC-J	N/A	GSJ-002	N/A
GUST-00011	Mana Khemia: Gakuen no Renkinjutsushi Tachi Portable+ (Limited Edition)	Japanese	N/A	NTSC-J	N/A	GUST-00011	N/A
GUST-00014	Mana Khemia 2: Ochita Gakuen to Renkinjutsushi Tachi Portable+ (Limited Edition)	Japanese	N/A	NTSC-J	N/A	GUST-00014	N/A
GUST-00017	Viorate no Atelier: Gramnad no Renkinjutsushi 2: Gunjou no Omoide (Limited Edition)	Japanese	N/A	NTSC-J	N/A	GUST-00017	N/A
GV00-10002	Kisou Ryouhei Gunhound EX (Limited Edition)	Japanese	N/A	NTSC-J	N/A	GV00-10002	N/A
GWS-0002	Solfege: Sweet Harmony (Limited Edition)	Japanese	N/A	NTSC-J	N/A	GWS-0002	N/A
GWS-0003	Zero Cho Aniki (Limited Edition)	Japanese	N/A	NTSC-J	N/A	GWS-0003	N/A
GWS-0004	PW: Project Witch (Limited Edition: Lilte)	Japanese	N/A	NTSC-J	N/A	GWS-0004	N/A
GWS-0005	PW: Project Witch (Limited Edition: Marl)	Japanese	N/A	NTSC-J	N/A	GWS-0005	N/A
GWS-0006	PW: Project Witch (Limited Edition: Shell)	Japanese	N/A	NTSC-J	N/A	GWS-0006	N/A
HKPP-01201	Hiiro no Kakera Portable (Limited Edition)	Japanese	N/A	NTSC-J	N/A	HKPP-01201	N/A
HKTW-11045	Hiiro no Kakera: Twin Pack	Japanese	N/A	NTSC-J	N/A	HKTW-11045	N/A
HONEY-001	Starry * Sky: In Spring : Portable (Limited Edition)	Japanese	N/A	NTSC-J	N/A	HONEY-001	N/A
